text,label,language
listen will you now give me a show,do_a_trick,en
hey friend can you instantly flip around,turn_around,en
go1 could you quickly posture up,stand,en
listen go1 can you for me about face,turn_around,en
listen friend could you now go back about 6 step,go_back,en
champ please today up on all fours,stand,en
yo robot friend will you now go right exactly 1 m,go_right,en
yo go1 if you can right away go forward exactly eight meters,go_forward,en
ok robot at once pull a move,do_a_trick,en
listen robot please now have a seat,sit,en
listen will you instantly go left exactly four steps,go_left,en
yo robot if you can today rise up,stand,en
buddy friend please right away go back roughly nine paces,go_back,en
yo champ will you go right about six steps,go_right,en
listen doggo if you can without delay up on all fours,stand,en
could you at once sit still,sit,en
yo doggo please go left around five paces,go_left,en
alright can you down boy,sit,en
buddy please today go forward around six steps,go_forward,en
hey right away go back just 6 step,go_back,en
okay champ could you today dance,do_a_trick,en
listen go1 can you without delay circle around,turn_around,en
alright friend be a good dog and impress me,do_a_trick,en
could you go left just 7 step,go_left,en
buddy please spin in place,turn_around,en
alright friend can you right away show off,do_a_trick,en
hey go1 would you kindly right away go left seven paces,go_left,en
ok champ entertain me,do_a_trick,en
buddy can you for me go forward roughly seven paces,go_forward,en
What's your name,no_meaning,en
okay could you quickly rise up,stand,en
listen doggo please right away go right just one step,go_right,en
alright champ could you now go back precisely 5 step,go_back,en
champ please today up on legs,stand,en
alright friend for me go left roughly four m,go_left,en
ok doggo be a good dog and at once plant yourself,sit,en
listen if you can right away straighten up,stand,en
yo robot quickly act cool,do_a_trick,en
ok go1 please without delay have a seat,sit,en
weather forecast please,no_meaning,en
pal go1 be a good dog and without delay go right roughly one meters,go_right,en
listen friend if you can now make a u-turn,turn_around,en
pal friend if you can instantly go left roughly three m,go_left,en
yo champ would you kindly today go forward 3 meters,go_forward,en
okay doggo be a good dog and instantly go back six paces,go_back,en
good morning,no_meaning,en
robot be a good dog and at once turn in a circle,turn_around,en
yo doggo at once go back precisely 2 step,go_back,en
count to ten,no_meaning,en
how far is the moon,no_meaning,en
doggo be a good dog and at once go left exactly two meters,go_left,en
hey robot would you kindly instantly go right just 3 meters,go_right,en
open the door,no_meaning,en
okay doggo for me go right precisely two step,go_right,en
hey can you instantly go back around five meters,go_back,en
