text,label
I need you to advance forward until I tell you to stop.,0
I need you to advance forward until I tell you to stop. please,0
I need you to advance forward until I tell you to stop. right away,0
I need you to advance forward until I tell you to stop.,0
I need you to advance forward until I tell you to stop. now,0
I need you to advance forward until I tell you to stop. quickly,0
"Robot, go straight ahead in a smooth way please.",0
"Robot, go straight ahead in a smooth way please.",0
"Robot, go straight ahead in a smooth way please. now",0
"Robot, go straight ahead in a smooth way please. right away",0
"Robot, move forward when you're ready.",0
"Robot, proceed forward when you're ready. now",0
"Robot, go forward when you're ready.",0
"Robot, move ahead when you're ready. quickly",0
"Robot, step forward when you're ready.",0
"Robot, walk forward when you're ready. quickly",0
"Robot, proceed forward when you're ready.",0
"Robot, move forward when you're ready.",0
"Robot, advance when you're ready.",0
"Robot, keep going forward when you're ready. please",0
"Robot, move ahead when you're ready.",0
"Robot, walk forward when you're ready.",0
Please go straight ahead for me now.,0
Please go straight ahead for me now. quickly,0
Please go straight ahead for me now.,0
Please go straight ahead for me now. now,0
Please go straight ahead for me now. please,0
"Hey buddy, move forward towards that direction.",0
"Hey buddy, advance towards that direction. now",0
"Hey buddy, move forward towards that direction.",0
"Hey buddy, move ahead towards that direction.",0
"Hey buddy, proceed forward towards that direction.",0
"Hey buddy, walk forward towards that direction. quickly",0
"Hey buddy, step forward towards that direction.",0
"Hey buddy, go forward towards that direction.",0
"Hey buddy, go forward towards that direction. right away",0
"Hey buddy, advance towards that direction.",0
"Hey buddy, move ahead towards that direction. please",0
"Hey buddy, move forward towards that direction. quickly",0
"Robot, step forward slowly as far as you can.",0
"Robot, step forward slowly as far as you can.",0
"Robot, step forward slowly as far as you can. right away",0
"Robot, step forward slowly as far as you can. quickly",0
"Robot, step forward slowly as far as you can. please",0
Could you move forward as far as you can.,0
Could you keep going forward as far as you can. please,0
Could you move forward as far as you can. now,0
Could you move forward as far as you can.,0
Could you go forward as far as you can. right away,0
Could you move ahead as far as you can. please,0
Could you go forward as far as you can.,0
Could you move ahead as far as you can.,0
Could you proceed forward as far as you can.,0
Could you keep going forward as far as you can.,0
Could you walk forward as far as you can.,0
Could you step forward as far as you can.,0
Could you advance as far as you can.,0
"Robot, step forward slowly when you're ready.",0
"Robot, step forward slowly when you're ready.",0
"Robot, step forward slowly when you're ready. please",0
"Robot, step forward slowly when you're ready. right away",0
"Robot, step forward slowly when you're ready. now",0
Could you advance forward right away!,0
Could you advance forward right away! please,0
Could you advance forward right away! now,0
Could you advance forward right away!,0
Could you advance forward right away! right away,0
Kindly go straight ahead for me now.,0
Kindly go straight ahead for me now. quickly,0
Kindly go straight ahead for me now. right away,0
Kindly go straight ahead for me now.,0
Kindly go straight ahead for me now. please,0
I need you to advance forward right away!,0
I need you to advance forward right away! please,0
I need you to advance forward right away!,0
I need you to advance forward right away! quickly,0
I need you to advance forward right away! now,0
I need you to advance forward right away! right away,0
Please go straight ahead when you're ready.,0
Please go straight ahead when you're ready. now,0
Please go straight ahead when you're ready. quickly,0
Please go straight ahead when you're ready.,0
Please go straight ahead when you're ready. right away,0
Kindly walk ahead when you're ready.,0
Kindly walk ahead when you're ready. now,0
Kindly walk ahead when you're ready. please,0
Kindly walk ahead when you're ready. right away,0
Kindly walk ahead when you're ready. quickly,0
Kindly walk ahead when you're ready.,0
Could you advance forward as far as you can.,0
Could you advance forward as far as you can. quickly,0
Could you advance forward as far as you can. please,0
Could you advance forward as far as you can. right away,0
Could you advance forward as far as you can.,0
Kindly walk ahead in a smooth way please.,0
Kindly walk ahead in a smooth way please. quickly,0
Kindly walk ahead in a smooth way please.,0
Kindly walk ahead in a smooth way please. please,0
Kindly walk ahead in a smooth way please. right away,0
I need you to move forward as far as you can.,0
I need you to go forward as far as you can.,0
I need you to move ahead as far as you can.,0
I need you to proceed forward as far as you can.,0
I need you to move forward as far as you can.,0
I need you to keep going forward as far as you can.,0
I need you to advance as far as you can.,0
I need you to go forward as far as you can. quickly,0
I need you to walk forward as far as you can.,0
I need you to keep going forward as far as you can. right away,0
I need you to keep going forward as far as you can. please,0
I need you to move forward for me now.,0
I need you to advance for me now.,0
I need you to step forward for me now.,0
I need you to move ahead for me now. right away,0
I need you to move forward for me now.,0
I need you to move forward for me now. please,0
I need you to walk forward for me now.,0
I need you to go forward for me now.,0
I need you to proceed forward for me now.,0
I need you to go forward for me now. please,0
I need you to keep going forward for me now.,0
"Robot, step forward slowly in a smooth way please.",0
"Robot, step forward slowly in a smooth way please.",0
"Robot, step forward slowly in a smooth way please. right away",0
"Robot, step forward slowly in a smooth way please. please",0
"Robot, step forward slowly in a smooth way please. now",0
"Robot, step forward slowly in a smooth way please. quickly",0
Could you walk ahead for me now.,0
Could you walk ahead for me now.,0
Could you walk ahead for me now. please,0
Could you walk ahead for me now. now,0
Could you go straight ahead until I tell you to stop.,0
Could you go straight ahead until I tell you to stop. now,0
Could you go straight ahead until I tell you to stop.,0
Could you go straight ahead until I tell you to stop. right away,0
Kindly walk ahead towards that direction.,0
Kindly walk ahead towards that direction. please,0
Kindly walk ahead towards that direction.,0
Kindly walk ahead towards that direction. quickly,0
Kindly walk ahead towards that direction. now,0
Kindly walk ahead towards that direction. right away,0
"Hey buddy, step forward slowly for me now.",0
"Hey buddy, step forward slowly for me now. right away",0
"Hey buddy, step forward slowly for me now. please",0
"Hey buddy, step forward slowly for me now.",0
"Robot, go straight ahead as far as you can.",0
"Robot, go straight ahead as far as you can. quickly",0
"Robot, go straight ahead as far as you can.",0
"Robot, go straight ahead as far as you can. please",0
Could you go straight ahead as far as you can.,0
Could you go straight ahead as far as you can. now,0
Could you go straight ahead as far as you can. quickly,0
Could you go straight ahead as far as you can.,0
Could you go straight ahead as far as you can. right away,0
